deal_id,date,items,value_million
57,20151216,"4 Multifunctional Information Distribution Systems (MIDS) On Ship Low Volume Terminals (LVTs); 4 Command and Control Processor (C2P) units, etc.",75
57,20151216,"769 TOW 2B Aero, Radio Frequency (RF) Missiles (BGM-71F-Series)?14 TOW 2B Aero, Radio Frequency (RF) (BGM-71F-Series) Fly-to-Buy Missiles?46 Improved Target Acquisition System (ITAS)?4 ITAS spares, etc.",268
57,20151216,"13 MK 15 Phalanx Block lB Baseline 2 Close-in Weapons System (CIWS) Guns; 8 CIWS Block 1 Baseline 0 to Block 1B Baseline 2 upgrade kits; 260,000 Rounds of 20mm MK 244 MOD 0 Armour-Piercing Discarding Sabots (APDS)",416
57,20151216,"The sale, refurbishment, and upgrade of 2 Oliver Hazard Perry-class frigates (FFG-7) being provided as Excess Defense Articles (EDA).",190
57,20151216,"250 Block I -92F MANPAD Stinger Missiles; 4 Block I -92F MANPAD Stinger Fly-to-Buy Missiles, etc.",217
57,20151216,36 Assault Amphibious Vehicles (AAVs); 30 .50 Caliber M2 machine guns; 6 7.62mm M240 machine guns,375
57,20151216,Follow-on life cycle support to maintain the Multifunctional Information Distribution Systems Low Volume Terminals (MIDS/LVT-1) & Joint Tactical Information Distribution Systems (JTIDS).,120
57,20151216,unspecified minesweepers in a direct commercial sale,108
58,20170629,"16 Standard Missile-2 (SM-2) Block IIIA All-Up Rounds (AUR), 47 MK 93 MOD 1 SM-2 Block IIIA Guidance Sections (GSs), 5 MK 45 MOD 14 SM-2 Block IIIA Target Detecting Devices (TDDs) Shrouds, 17 MK 11 MOD 6 SM-2 Block IIIA Autopilot Battery Units (APBUs) maneuverability upgrades on the GSs, 69 section containers, 16 AUR containers, operator manuals and technical documentation, U.S. Government and contractor engineering, technical and logistics support services.",125
58,20170629,"MK 54 Lightweight Torpedo (LWTs) in support of their LWT program, including LWT containers, torpedo support, torpedo spare parts, publications, training, weapon system support, engineering and technical assistance for the upgrade and conversion of 168 MK-46 Mod 5 Torpedoes to the MK-54 LWT configuration.",175
58,20170629,"46 MK 48 Mod 6AT Heavyweight Torpedoes (HWT), including HWT containers, torpedo support, torpedo spare parts, publications, training, weapon system support, engineering and technical assistance.",250
58,20170629,"upgrade the AN/SLQ-32(V)3 Electronic Warfare Systems in support of 4 ex-KIDD Class (now KEELUNG Class) destroyers. This sale will include AN/SLQ-32(V)3 upgrade hardware, software, support equipment and parts, publications, training, engineering and technical assistance.",80
58,20170629,"56 AGM-154C JSOW Air-to-Ground Missiles. This request also includes: JSOW integration, captive flight vehicles, dummy training missiles, missile containers, spare and repair parts, support and test equipment, Joint Mission Planning System updates, publications and technical documentation, personnel training and training equipment, U.S. Government and contractor engineering, technical and logistics support services, and other related elements of logistical and program support.",185.5
58,20170629,"50 AGM-88B HARMs and 10 AGM-88B Training HARMs. This request also includes: HARM integration, LAU-l 18A Launchers, missile containers, spare and repair parts, support and test equipment, Joint Mission Planning System update, publications and technical documentation, personnel training and training equipment, U.S. Government and contractor engineering, technical and logistics support services, and other related elements of logistical and program support.",147.5
58,20170629,"SRP Operations and Maintenance follow-on sustainment package that includes, contractor logistics support (sustainment); engineering services and technical updates to address equipment obsolescence; transportation and material costs associated with contractor repair and return services; spare and repair parts; support and test equipment; publications and technical documentation; personnel training and training equipment; U.S. Government and contractor engineering; technical and logistics support services; and other related elements of logistical and program support.",400
59,20180924,"Spare parts for F-16, C-130H, F-5E/F, Indigenous Defense Fighter (IDF), and other aircraft.",330
60,20190415,"Continuation of the pilot training program of 21st FS in Luke AFB, Arizona.",500
61,20190708,"250 FIM-92F missiles, 108 launchers, 31 trainers.",223.56
61,20190708,"108 M1A2T main battle tanks, 14 M88 recovery vehicles, 16 M1070A1 transporters, 16 M1000 trailers, ammunition.",2000
62,20190820,"66 F-16C/D block 70 fighters, 75 F110 engines, 75 Link 16 systems, 75 AN/APG-83 AESA radars, 120 AN/ALE-50 towed decoy systems, ammunition.",8000
