event_id,president,description,source,tong,du,date,exclude
57,Lee,Lee proposes new doctrine governing cross-strait relations at National Unification Council meeting closing remarks,mac,3,1,19990408,
58,Lee,Book launch for Lee's With the People Always in My Heart,mac,1,1,19990519,
59,Lee,Lee's written remarks read at NTU's student conference on safeguarding Asia-Pacific security and cross-strait relations,mac,0,2,19990612,
31,Lee,Lee and his VP quoted in WSJ for saying that Taiwan's choice of joining the US-led East Asia missile defense framework would depend on the CCP's actions,mac,0,1,19990625,
60,Lee,Lee defines cross-strait relations as special state-to-state relations in interview to German media DW,mac,1,3,19990709,
61,Lee,Lee chats with AIT official,mac,0,0,19990714,
62,Lee,Lee walks back his comments to DW when taking to Rotary International members,mac,1,1,19990720,
63,Lee,Lee sees President of AIT Richard Bush (again walks back statement),mac,1,1,19990723,
64,Lee,Lee gives remarks at industrial/commerce conference and urges economic solution to strainded cross-strait relations,mac,0,1,19990807,
65,Lee,Lee issues written statment in celebration of the 88th soldiers' day,mac,2,1,19990902,
66,Lee,Lee claims himself to be the peacemaker in cross-strait relations during remarks to Lion Club International members,mac,0,1,19990916,
67,Lee,Lee reinstates special state-to-state relations at ROC-Central American Leaders Summit,mac,0,3,19990907,
68,Lee,Lee walks back statement during address to exemplerary citizens,mac,1,1,19991030,
69,Lee,"Lee delivers closing remarks at commerce conference and states that should the CCP shows goodwill, TW is willing to renegotiate trade policies based on the premise of special state-to-state relations according to the norms of the WTO",mac,1,2,19991125,
70,Lee,Lee meets with international delegates attending the World Vision conference,mac,0,1,19991206,
71,Lee,"Lee gives interviews, stating that the 1991 constitutional amendment has ended the civil war and established cross-strait relations as state-to-state relations",mac,0,1,19991222,
72,Lee,Lee reinforces the essence of special state-to-state relations during remarks at the correspondent dinner,mac,0,1,20000115,
73,Lee,Lee meets with new president of the Religious Foundation of his Holiness the Dalai Lama and pledges to increase religious and cultural exchanges,mac,0,1,20000211,
74,Lee,"Lee delivers remark as chairman of the KMT and gives his interpretation of ""One China""",mac,1,1,20000229,
75,Chen,"President-Elect Chen meets with advisers and discusses cross-strait relations, shows willingness to negotiate",mac,1,0,20000320,
76,Chen,"President-Elect Chen meets with defense ministry and chief of staff and expresses his pledge to national security; gives interview and claims his goal to achieve Three Connections, his opposition to CCP's One China Principle or One Country Two Systems, but also promises not to write the Two Country theory into the constitution (pledges to maintain status quo)",mac,1,1,20000323,
77,Chen,President-Elect Chen speaks at dinner honoring Nobel Economics leurate and meeting with UMC president,mac,2,2,20000328,
78,Chen,President-Elect Chen gives press conference to promise to uphold the status quo,mac,0,0,20000320,
79,Chen,DPP representative meets with US delegates in NYC and expresses Chen's promise to uphold the status quo,mac,0,0,20000328,
80,Lee,"Lee discusses the ""New Taiwanese"" (""Xin Taiwanren"") cultural identity",mac,0,1,20000427,
81,Chen,"President-Elect Chen, when visiting the Far East Group, discusses the possibility of loosening visa requirements for foreign nationals, including highly-skilled labor from the Mainland",mac,1,0,20000405,
82,Chen,Chen's interview with U.S. News Weekly and promises to adhere to status quo,mac,0,0,20000409,
83,Chen,Chen speaks to newly-elected LY members and lowers expectations on cross-strait talking points in his upcoming inaugral address,mac,0,0,20000411,
84,Chen,"Chen and his VP listens to MAC briefing, promises to not respond to the PRC's One China Principle in his inaugural address",mac,0,0,20000414,
85,Chen,"Chen gives interview to Japanese media, again promises to maintain status quo and lowers expectation on his inaugural address",mac,0,0,20000415,
86,Chen,"Chen speaks at Lion Group Intl's invite, mentions his wish to take a softer-line approach to cross-strait relations",mac,0,0,20000416,
87,Chen,Chen speaks to senior member of the Lee admin on cross-strait relations,mac,0,0,20000421,
88,Chen,"Chen meets with U.S. Assistant Secretary of State for Asia-Pacific Affairs etc. and discusses his plans to broaden Track II and III diplomacy with the Mainland, but also maintains that he must not accept the CCP's claims over Taiwan",mac,1,1,20000424,
89,Chen,Chen meets with another senior member of the Lee admin on cross-strait relations,mac,0,0,20000425,
90,Chen,Chen speaks to delegates of the Japan All-Party Parliamentary Group and pledges to improve cross-strait relations,mac,1,0,20000501,
91,Chen,Chen meets with AIT former president Natale Hans Bellocchi and says that his governing agenda focuses more on the development of the Taiwan economy,mac,0,1,20000503,
92,Chen,Chen meets with Japanese parliamentarian and expresses willingness to reopen negotiations with the Mainland,mac,1,0,20000505,
93,Chen,Chen meets with another senior member of the Lee admin on cross-strait relations and lays out globalization approach to cross-strait relations,mac,0,0,20000518,
94,Chen,Chen's inaugural address further establishes Chen's wish to maintain the status quo (4 Nos and One Without),mac,0,0,20000520,
95,Chen,Chen responds to Taichung legislator and responds to his proposal to immediately open religious cross-strait channels,mac,0,0,20000621,
96,Chen,Chen delivers opening remarks at conference in Taipei,mac,0,1,20000607,
97,Chen,Chen meets with Senator Rockefeller,mac,0,0,20000612,
98,Chen,Chen meets with delagates from the WTCC,mac,1,0,20000614,
99,Chen,Chen meets with US Secretary of Transportation,mac,1,1,20000615,
100,Chen,Chen takes outdoor press conference,mac,1,0,20000620,
101,Chen,Chen meets with US NCAFP delegates,mac,1,1,20000630,
102,Chen,Chen meets with awardees of National Outstanding SMEs and suggest that TW joining the WTO is a crucial step towards normalizing traidng relations with the PRC,mac,0,1,20000703,
103,Chen,Chen meets with US congressman and criticises the CCP for ignoring existing negotiation channels,mac,0,1,20000706,
104,Chen,Chen meets with Lion Pack International reps and admits to military inferiority to CCP,mac,0,0,20000710,
105,Chen,Chen meets with Robert Dole and argues for the merit of U.S. arms sales as balancer of cross-strait security relations,mac,0,1,20000711,
106,Chen,Chen meets with DPP legislator,mac,1,1,20000718,
107,Chen,Chen meets with more DPP legislators and expresses the importance of having the minority and majority parties strike a common understanding on the approach to cross-strait relations,mac,0,0,20000725,
108,Chen,Chen again emphasizes the importance of San Tong and San Xiao Tong when answering questions from reporters,mac,2,0,20000731,
109,Chen,Chen dines with LY non-partisan delegation and expresses the need to welcome PRC capital once TW joins the WTO,mac,1,1,20000807,
110,Chen,Chen meets with US congressman,mac,0,1,20000810,
111,Chen,Chen emphasizes the mere advisory role of the National Unification Council,mac,0,0,20000828,
112,Chen,Chen stops by in LA on the way to Central America; gives speech at NTCC conference,mac,0,2,20000815,
113,Chen,Chen lunches with the Taiwanese Ambassador to the Dominican Republic,mac,0,2,20000816,
114,Chen,Chen remains undecided on whether to assume position of chair as NUC and maintains that TW's sovereign status should be decided by the TWese people at routine press conference,mac,0,0,20000817,
115,Chen,Chen issues various joint declarations with Central American diplomatic allies,mac,0,1,20000817,
116,Chen,"Chen visits various African countries, maintains that he would not accept the CCP's invitation to the Beijing Summit and reiterates the fact that two sides have different political experiences",mac,0,2,20000820,
117,Chen,Chen speaks at first non-partisan working group meeting,mac,0,0,20000902,
118,Chen,"Chen argues that KMT's goal of unification with the Mainland should not be the only way out, and that most Taiwanese people oppose unification with CCP-controlled mainland",mac,0,1,20000902,
119,Chen,Chen issues statement for armed forces day,mac,0,1,20000902,
120,Chen,Chen expresses willingness to introduce highly skilled Mainland labor to meet gaps in high tech jobs when listening to Xinchu city admin proposal,mac,1,0,20000911,
121,Chen,Chen gives interview to FT,mac,1,1,20000915,
122,Chen,Chen gives interview to CNN,mac,0,0,20000922,
123,Chen,Chen speaks at the Economist's Taiwan investor conference,mac,1,1,20000925,
124,Chen,Chen endorses the Not Ruling Out Unification position,mac,0,0,20000913,
125,Chen,"Chen gives interview to French media, claims that the TWese people would not accept to merge with the PRC",mac,0,1,20001005,
126,Chen,Chen speaks at ceremony celebrating ROC anniversary,mac,1,0,20001010,
127,Chen,Chen meets with UMD President Mote,mac,1,1,20001026,
128,Chen,"Chen gives interview to HK TVB, discusses the limitations of Jie Ji Yong Ren",mac,1,0,20001030,
129,Chen,Chen meets with delegates from Sino-Japanese Relations Research Council and iterates the essense of San Tong,mac,2,2,20001227,
130,Chen,Chen gives interview to Japanese magazine (published 2001 jan),mac,1,0,20001006,
131,Chen,Chen delivers remarks when touring Kinmen Islands,mac,2,0,20010117,
132,Chen,Chen meets with delegates from JINSA and talks about his holistic approach to improving TW national security,mac,0,1,20010208,
133,Chen,Chen meets with former deputy NSA James Steinberg and former congressman and calls for more US arms sales to TW,mac,0,1,20010216,
134,Chen,"Chen delivers remarks under Anthony Lake's invitation and discusses the security, FP, and trade implications of TW and the PRC joining the WTO at the same time",mac,1,1,20010216,
135,Chen,Chen meets with delegates from the EU liberty party and envisions a EU-like relationship with the PRC in the post WTO membership world,mac,1,1,20010222,
136,Chen,Chen meets with Mainland pro-democracy activist,mac,0,1,20010308,
137,Chen,"Chen meets with Japanese EA expert, reiterates his holistic approach to TW security",mac,0,1,20010309,
138,Chen,Chen meets with CSIS delegates,mac,0,1,20010319,
139,Chen,Chen meets with Global Taiwanese Institute delegates and gives fuzzy interpretation of unifictaion,mac,0,0,20010319,
140,Chen,Chen speaks at the ceremony celebrating the launch of Cross Strait Common Market Foundation,mac,1,0,20010326,
141,Chen,Chen meets with the Dalai Lama and projects an optimistic outlook on Tibet's relationship with the CCP,mac,0,0,20010405,
142,Chen,Chen speaks at the 2001 Global Citizen conference,mac,0,0,20010401,
143,Chen,Chen meets with Sun Yat-sen's granddaughter,mac,0,0,20010403,
144,Chen,Chen meets with US Senate Banking Committee delegates and urges the US to help foster trust-building mechanisms between TW and the PLA,mac,0,0,20010414,
145,Chen,Chen meets with US senators and urges for arms sales,mac,0,1,20010420,
146,Chen,Chen gives interview to HK Sin Pao,mac,1,2,20010426,
147,Chen,Chen meets with German Congressional diplomatic delegate and justifies US arms sales to Taiwan,mac,0,1,20010502,
148,Chen,Chen delivers remarks at military ceremony,mac,1,0,20010510,
149,Chen,Chen gives interview to WSJ-Asia on TW FDI in China,mac,0,0,20010510,
150,Chen,Chen gives interview to TIME Asia,mac,0,2,20010515,
151,Chen,Chen delivers remarks at CFR conference via video conference,mac,0,0,20010516,
152,Chen,Chen meets with Japanese delegates,mac,0,1,20010702,
153,Chen,Chen meets with HKS president,mac,0,0,20010705,
154,Chen,Chen attends military ceremony and delivers remarks,mac,0,1,20010712,
155,Chen,Chen gives interview to WP,mac,0,1,20010713,
156,Chen,"Chen meets with US senator Christopher Bond, claims that he has to approach the cross-strait issue from a constitutionally-sound way",mac,0,1,20010810,
157,Chen,Chen speaks at Kaotsiung on trade,mac,1,1,20010814,
158,Chen,Chen meets with peace delegate,mac,1,1,20010815,
159,Chen,Chen meets with chairman of US House Foreign Affairs Comm,mac,0,1,20010823,
160,Chen,Chen meets with congressmen on trade policy,mac,0,1,20010829,
161,Chen,Chen meets with GOP whip,mac,1,0,20010829,
162,Chen,Chen meets with US think tank people,mac,0,1,20010831,
163,Chen,Chen attends Mainland investor conference,mac,0,0,20011003,
164,Chen,Chen gives interview to Japanese media on suspended cross-strait negotiations,mac,1,0,20011003,
165,Chen,Chen hosts meeting on 9/11,mac,0,1,20011008,
166,Chen,Chen delivers remarks at ROC anniversary,mac,1,0,20011010,
167,Chen,Chen meets with business leaders,mac,1,0,20011029,
168,Chen,Chen comments on TW not being able to attend APEC summit,mac,0,1,20011020,
169,Chen,Chen meets with US former secretary of defense and denies the legitimacy of Jiu Er Gongshi,mac,0,0,20011101,
170,Chen,Chen reacts to TW joining the WTO,mac,1,1,20011112,
171,Chen,Chen speaks at industrial festival after EY passed plan on Jiji Kaifang Youxiao Guanli,mac,1,1,20011109,
172,Chen,Chen promises conference delegates that cross-strait policy would not change after DPP's win in local elections,mac,0,0,20011203,
173,Chen,Chen meets with delegates of the Committee of 100 and proposes three Bugai (No Changes),mac,1,0,20011210,
174,Chen,Chen meets with US congressman and again promises no change in his admin's Mainland policy,mac,1,0,20011220,
175,Chen,Chen proposes San Pingheng (Three Balances),mac,1,1,20020107,
176,Chen,Chen proposes Wuge Guanjiandian (Five Key Points),mac,1,2,20020110,
177,Chen,Chen defends the choice of adding Taiwan to ROC name,mac,0,1,20020114,
178,Chen,"Chen meets with Richard Bush, AIT and responds to Qian Qichen's remarks, again promises no change in admin's PRC policy",mac,0,0,20020128,
179,Chen,Chen speaks at CSIS roundtable,mac,0,0,20020326,
180,Chen,Chen meets with French Senate working group,mac,1,1,20020411,
181,Chen,Chen meets with Japanese delegates,mac,1,1,20020429,
182,Chen,Chen meets with NCAFP delegates,mac,0,1,20020502,
183,Chen,Chen visits Kinmen Islands and vows to send delegation to the Mainland once he assumes Chairmanship of the DPP,mac,1,0,20020509,
184,Chen,Chen addresses cross-strait issues at press conference in Taitung,mac,1,1,20020510,
185,Chen,United Daily News quotes Chen in Der Spiegal on national defense,mac,0,2,20020519,
186,Chen,Chen gives exclusive to CNN on cross-strait relations,mac,1,2,20020525,
187,Chen,Chen meets with delegates to conference on contemporary china,mac,2,0,20020604,
188,Chen,Chen visits African diplomatic allies,mac,0,1,20020630,
189,Chen,Chen assumes DPP chairmanship and speaks about cross-strait relations,mac,1,2,20020721,
190,Chen,Chen speaks at national security meeting and warns on CCP disinformation campaign,mac,0,1,20020722,
191,Chen,"Chen speaks to WFTA conference on TW sovereignty, and urges participants to consider the necessity of a referendum on TW's status; talks about Yi Bian Yi Guo (each as its own state)",mac,0,3,20020803,
192,Chen,Chen walks back Yi Bian Yi Guo a bit by explaining it with equal sovereignty theory,mac,0,2,20020806,
193,Chen,Chen talks about cross-strait charter with Office of the President and other EY persons,mac,1,0,20020824,
194,Chen,Chen speaks at 9/11 anniversary about CCP military threat,mac,0,1,20020910,
195,Chen,Chen speaks to Mainland business leaders,mac,2,0,20020924,
196,Chen,Chen endorses Qian Qichen's cross-strait charter idea and shows willingness to negotiate,mac,1,0,20021018,
197,Chen,Chen meets with EU parliament leaders and discusses cross-strait charter negotiation,mac,1,0,20021030,
198,Chen,Chen issues remarks to the Global Alliance for Democracy and Peace' meeting in Crystal City,mac,1,1,20021109,
199,Chen,Chen delivers new year's remarks; maintains reconsiliatory approach to negotiations with the CCP but also upholds the 4 Noes and One Without,mac,1,0,20030101,
200,Chen,"Chen attends Japan-Taiwanese meeting and discusses trilateral alliance between US, Japan, and Taiwan",mac,0,1,20030109,
201,Chen,Chen meets with NCAFP delegates,mac,0,1,20030120,
202,Chen,Chen meets with US House delegation and reassures them that he intends on maintaining the status quo,mac,0,0,20030218,
203,Chen,Chen meets with US delegation including majority leader,mac,0,1,20030418,
204,Chen,"In light of SARS spread in the Mainland, Chen orders assessment on cross-strait cargo shipping",mac,1,1,20030502,
205,Chen,Chen vows at DPP conference to stand up to China on the issue of IO memberships,mac,0,2,20030603,
206,Chen,"Chen proposes referendums in upcoming election, including issues on nuclear power plant and WHO membership",mac,0,1,20030627,
207,Chen,Chen supports HK protests on Article 23 in the HK Basic Laws,mac,0,1,20030702,
208,Chen,"Chen gives interview to Japanese media, claiming that under CCP's One China Principle direct charter is made impossible, and reopening negotiations would be difficult within his tenure",mac,0,2,20030705,
209,Chen,Chen reacts to US hesitation on direct referendum and vows to not include unification/independence issues,mac,0,1,20030726,
210,Chen,Chen proposes three-stage plan for cross-strait charter,mac,2,0,20030813,
211,Chen,Chen meets with US experts on cross-strait relations and reiterates Yi Bian Yi Guo,mac,0,3,20030827,
212,Chen,Chen discusses TW's constitution,mac,0,2,20031007,
213,Chen,Chen awarded human rights recognition and speaks about TW democracy in the US,mac,0,3,20031101,
214,Chen,Chen speaks at US rally about referendums and push for new constitution,mac,0,2,20031101,
215,Chen,Chen meets with US Secretary of State in the Panamas,mac,0,1,20031105,
216,Chen,Chen gives interviews when in the Panamas and expresses that he does not accept One Country Two Systems,mac,0,2,20031105,
217,Chen,TW forms diplomatic relations with Kiribati,mac,0,1,20031108,
218,Chen,Chen defends referendum as means to preserve status quo,mac,0,2,20031205,
219,Chen,Chen meets with US congressman and comments on Bush-Wen meeting,mac,0,2,20031210,
220,Chen,Chen gives interview to CNN on intending to maintain status quo,mac,0,0,20031211,
221,Chen,Chen delivers New Year's Remarks; maintains Four Noes and One Cannot but also stresses the Taiwanese political legitimacy,mac,1,2,20040101,
222,Chen,Chen publishes new book in which he denies the One China Principle,mac,0,1,20040115,
223,Chen,Chen comments on US-Taiwan relations and referendum,mac,0,1,20040112,
224,Chen,Chen reveals referendum questions and reiterates commitment to status quo in accompanying remarks,mac,2,1,20040117,
225,Chen,Chen criticizes French President's remarks on TW referendum,mac,0,2,20040128,
226,Chen,Chen proposes Si Ge Kuo Da (Four Expansions) at meeting with Taiwanese business conference,mac,2,0,20040130,
227,Chen,Chen submits 320 peace referendum,mac,1,1,20040203,
228,Chen,Chen plans on selecting representative to the PRC before election; Chen also slightly changed his rhetoric on unification/independence referendum,mac,1,1,20040213,
229,Chen,Chen expresses willingness to shake hands with CCP leaders in a third country,mac,2,0,20040221,
230,Chen,Chen wins reelection,mac,0,1,20040320,
231,Chen,Chen meets with NCAFP delegates and talks about new PRC policies he plans to include in his second inaugural address,mac,0,2,20040405,
232,Chen,Chen announces plans to establish Cross-Strait Peaceful Development Committee,mac,0,0,20040424,
233,Chen,Chen and VP meets with new cross-strait committee and proposes plans to further economic cooperation,mac,1,0,20040506,
234,Chen,Chen delivers second inaugural address,mac,2,2,20040520,
235,Chen,Chen attends democratic pacific conference,mac,0,2,20040814,
236,Chen,Chen argues that Taiwan is the best abbreviation for the country,mac,0,1,20040902,
237,Chen,Chen reacts to CCP's anti-seccession law,mac,1,2,20040902,
238,Chen,Taiwan is used for official documents,mac,0,2,20040915,
239,Chen,Chen points out similarities between TW and Japan's political development,mac,0,2,20041004,
240,Chen,"Chen teaches at public school, iterates goals to reform the TW economy, push for new constitution, and reopen negotiations with the CCP",mac,1,2,20041023,
241,Chen,Chen defends Taiwan's sovereignty agains Powell's statement,mac,0,1,20041026,
242,Chen,Chen talks us-prc-taiwan relations after US election,mac,1,0,20041110,
243,Chen,Chen takes proactive steps toward charter and also reacts to anti-seccession law,mac,1,1,20050120,
244,Chen,Chen talks cross-strait relations when visiting South Pacific diplomatic allies,mac,1,1,20050130,
245,Chen,Chen does not appose legislation for cross-strait peace; outlines other policy goals in lunar new year event,mac,1,2,20050214,
246,Chen,Chen talks new developments in cross-strait charter and maintains that tw's security is of utmost importance,mac,1,1,20050221,
247,Chen,Chen maintains that the TW constitution should be the highest guideline for cross-strait policy,mac,0,1,20050224,
248,Chen,Chen appoints new Minister of Education who leads a reform in Taiwan high school history curriculum,,0,2,20041101,
249,Chen,Chen makes six statements in response to CCP's anti-seccession law,mac,0,2,20050316,
250,Chen,"Chen speaks at Taiwan Solidarity Union anniversary and proposes One Principle, Three Maintains, and Five Objections (Yige Yuanze, Sange Jianchi, Wuge Fandui)",mac,0,2,20050806,
251,Chen,"Chen's new year's address, stresses the ""Taiwanese identity"" and proposes the possibility of a referendum on the new constitution, Jiji Guanli Youxiao Kaifang (instead of Jiji Kaifang, Youxiao Guanli)",mac,0,3,20060101,
252,Chen,Chen delivers Lunar New Year address and proposes three agendas,mac,0,3,20060129,
253,Chen,"Chen speaks at national security senior official meeting, and decides to dissolve the NUC and annuls the legality of the unification agenda",mac,1,3,20060227,
254,Chen,Chen meets with NCAFP delegates re KMT-CCP forum and criticizes the lack of substance from the Lian Zhan-Hu Jintao meeting,mac,0,2,20060414,
255,Chen,"Chen gives interview to Japanese media and comments on the democratic traditions of Japan, Taiwan, US",mac,0,2,20060427,
256,Chen,"Chen visits Central America, gives speech at Global Democracy Alliance conferece",mac,1,1,20060509,
257,Chen,"Chen holds meeting to go over the first National Security Report, including a chapter on establishing trust-building mechanisms with the PRC to avoid military conflict",mac,1,1,20060518,
258,Chen,Chen writes to UN Secretary General re Taiwan's UN status,mac,0,2,20070719,
259,Chen,Chen comes out in support of DPP's push for the UN referenfums in the 2008 elections,mac,0,3,20071213,
260,Chen,Chen gives speech at campaign event for Taiwan's UN membership,mac,0,2,20080227,
261,Chen,Chen meets with AIT president and denies the legality of the 1992 Concensus,mac,0,2,20080328,
262,Ma,President-elect Ma claims support for 1992 Consensus,mac,2,1,20080324,
263,Ma,Ma meets with Lian Zhan on cross-strait relations and promotes negotiations between ROC Straits Exchange Foundations (SEF) and the PRC Association for Relations Across the Taiwan Straits (ARATS),mac,1,1,20080331,
264,Ma,Ma promises cross-strait charter and to welcome Mainland tourists,mac,2,0,20080424,
265,Ma,Ma gives inangural address and promises to reopen negoatiations with the Mainland based on the 1992 Consensus,mac,2,1,20080520,
266,Ma,Ma discusses trade issues with industry leaders and claims that political issues should be kept out of trade/economics,mac,1,0,20080618,
267,Ma,"Ma pushes for better media relations between the CCP and the PRC, which lead to the reopening of the Taiwan stations of XInhua and People's Daily",mac,1,0,20080630,
268,Ma,Chen visits Kinmen Islands on the anniversary of the Second Taiwan Strait Crisis and expressed hope to establish peaceful relations,mac,2,0,20080824,
269,Ma,"Ma gives interview to Mexican newspaper, defines Taiwan and China as ""not two Chinas, a special relationship, but not state-to-state relations""",mac,2,0,20080905,
270,Ma,Ma delivers address on military campus,mac,0,1,20081021,
271,Ma,Ma gives televized projection on upcoming SEF-ARATS meeting,mac,1,1,20081029,
272,Ma,"Ma publishes article titled Peace Plan, China and Taiwan in WP and calls for the CCP to abandon the zero-sum mindset",mac,1,2,20081212,
273,Ma,Ma explains controversy regarding CECA and claims that it is an apolitical deal,mac,1,1,20090227,
274,Ma,Ma maintains the importance of Taiwan's independent representation in IO/international conferences such as WHA,mac,0,2,20090320,
275,Ma,Ma speaks with CSIS on Hu's Six Declarations re Taiwan,mac,1,1,20090422,
276,Ma,Ma speaks at press conference at his first year mark in office,mac,0,0,20090520,
277,Ma,"Ma speaks with Susan Shirk, expressing the need for US security assistance even in light of the EFCA",mac,1,1,20090619,
278,Ma,"Ma claims that it is more important to push for economic connections, and is in no hurry to sign peace treaties with the PRC or meet with Hu Jintao",mac,1,0,20090703,
279,Ma,Ma speaks at national defense university event,mac,0,0,20091125,
280,Ma,Ma reiterates his support of the 1992 consensus,mac,1,0,20091231,
281,Ma,Ma delivers inaugural address and pledges status quo re controversy on Taiwan's move toward unification,mac,0,0,20100101,
282,Ma,Ma attends IDU conference,mac,1,1,20100201,
283,Ma,Ma gives press conference on the presidential report on cross-strait economic relations,mac,1,1,20100209,
284,Ma,Ma dilivers address at PRC/Taiwan business celebration for lunar new year,mac,1,2,20100222,
285,Ma,Ma address Wen Jiabao's claim on cross-strait relations during press conference while in Nauru and confirms that both sides are Chinse,mac,1,1,20100324,
286,Ma,Ma holds press conference celebrating his second year in office and claims to maintain status quo under ROC constitution and 1992 consensus; proposes Liuxiang Zhuzhang (6 proposals),mac,2,1,20100519,
287,Ma,ROC honarary chair Wu Po-hsiung meets with Hu Jintao and relays Ma's comments,mac,1,0,20100712,
288,Ma,Ma delivers remarks at military leader conference on how cross-strait negotiation should look like; argues the case for maintaining status quo and comes out against arms race against the mainland,mac,1,0,20101103,
289,Ma,"Ma emphasizes the importance of using soft power to usher in era of peaceful relations with the PRC, citing success of ECFA, and advertizes benefits of improved relations at Overseas Community Affairs Council (OCAC) conference",mac,1,0,20101108,
290,Ma,"Ma delivers new year's address titled Zhuangda Taiwan, Zhenxing Zhonghua",mac,2,1,20110101,
291,Ma,Ma speaks at MAC 20th anniversary,mac,1,1,20110128,
